term,crn,catalog_id,section,credits,title,timecodes,instructor
Spring2023,37048,IDSN 5421,01,2.000,Sustainable Design,['T 0200pm-0430pm 01/17-05/10'],"Hollis A.  Sutherland (P), Robert A.  Ha"
Spring2023,38724,IDSN 5422,01,3.000,Rendering,['T 1230pm-0300pm 01/17-05/10'],Robert A.  Hardy
Spring2023,37049,IDSN 6509,01,3.000,3-D Architectural Computer-Aided Design (CAD),['R 0630pm-0900pm 01/17-05/10'],"Haralampos Bobby  Moisiadis (P), Robert A.  Ha"
Spring2023,37050,IDSN 6511,01,3.000,Interior Design II,['M 0630pm-0900pm 01/17-05/10'],"Hollis A.  Sutherland (P), Robert A.  Ha"
Spring2023,38725,IDSN 6511,02,3.000,Interior Design II,['F 0930am-1200pm 01/17-05/10'],"Hollis A.  Sutherland (P), Robert A.  Ha"
Spring2023,37051,IDSN 6518,01,3.000,Interior Design V,['T 0630pm-0900pm 01/17-05/10'],Robert A.  Hardy
Spring2023,38726,IDSN 6520,01,3.000,Perspective Techniques,['T 0930am-1200pm 01/17-05/10'],Robert A.  Hardy
Spring2023,38028,IDSN 6999,01,3.000,Capstone and Studio,['W 0630pm-0900pm 01/17-05/10'],"Hollis A.  Sutherland (P), Robert A.  Ha"
Spring2023,38739,INTL 1050,01,3.000,"People, Places, and Global Issues",['MR 1100am-1215pm 01/17-05/10'],Jennifer   Cook
Spring2023,38740,INTL 1050,02,3.000,"People, Places, and Global Issues",['MR 1230pm-0145pm 01/17-05/10'],Jennifer   Cook
Spring2023,38741,INTL 1050,03,3.000,"People, Places, and Global Issues",['MR 0330pm-0445pm 01/17-05/10'],Jennifer   Cook
Spring2023,38742,INTL 1051,01,3.000,Introduction to International Relations,['TF 1230pm-0145pm 01/17-05/10'],Janie L.  Leatherman
Spring2023,38805,INTL 1052,01,3.000,Culture and the Political Economy,['MR 0200pm-0315pm 01/17-05/10'],Alfred   Babo
Spring2023,38993,INTL 2101,01,3.000,Introduction to International Business,['MR 0930am-1045am 01/17-05/10'],Helena K.  Keefe
Spring2023,38994,INTL 2101,02,3.000,Introduction to International Business,['MR 0800am-0915am 01/17-05/10'],Gru   Han
Spring2023,38995,INTL 2101,03,3.000,Introduction to International Business,['MR 1100am-1215pm 01/17-05/10'],Gru   Han
Spring2023,38996,INTL 2101,04,3.000,Introduction to International Business,['MR 1230pm-0145pm 01/17-05/10'],Gru   Han
Spring2023,38997,INTL 2101,05,3.000,Introduction to International Business,['MR 0200pm-0315pm 01/17-05/10'],Gru   Han
Spring2023,38998,INTL 2101,06,3.000,Introduction to International Business,['TF 0930am-1045am 01/17-05/10'],Ruchika   Sachdeva
Spring2023,38999,INTL 2101,07,3.000,Introduction to International Business,['TF 1230pm-0145pm 01/17-05/10'],Ruchika   Sachdeva
