term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Summer2020,50274,FT 0568G,OL1,1.500,Affirmative Care with Sexual Minority Youth,[],[],Julie   Tilsen,Julie   Tilsen (P),20,16,4
Summer2020,50246,FT 0580,OL1,3.000,Internship in Family Therapy I,"[{'days': 'M', 'times': '1200pm-0130pm', 'dates': '06/01-07/27', 'location': 'ONLINE '}]",['M 1200pm-0130pm 06/01-07/27 ONLINE '],Rona   Preli,Rona   Preli (P),6,2,4
Summer2020,50248,FT 0580,OL2,3.000,Internship in Family Therapy I,"[{'days': 'M', 'times': '1200pm-0130pm', 'dates': '06/01-07/27', 'location': 'ONLINE '}]",['M 1200pm-0130pm 06/01-07/27 ONLINE '],Nicole B.  O'Brien,Nicole B.  O'Brien (P),6,3,3
Summer2020,50249,FT 0581,OL1,3.000,Internship in Family Therapy II,"[{'days': 'M', 'times': '1200pm-0130pm', 'dates': '06/01-07/27', 'location': 'ONLINE '}]",['M 1200pm-0130pm 06/01-07/27 ONLINE '],Rona   Preli,Rona   Preli (P),6,4,2
Summer2020,50250,FT 0581,OL2,3.000,Internship in Family Therapy II,"[{'days': 'M', 'times': '1200pm-0130pm', 'dates': '06/01-07/27', 'location': 'ONLINE '}]",['M 1200pm-0130pm 06/01-07/27 ONLINE '],Nicole B.  O'Brien,Nicole B.  O'Brien (P),6,3,3
Summer2020,50251,FT 0582,OL1,0.000,Continuing Internship in Family Therapy,[],[],Nicole B.  O'Brien,Nicole B.  O'Brien (P),6,2,4
Summer2020,50325,MA 0017,OL1,3.000,Elementary Probability and Statistics,[],[],Mary V.  Grant,Mary V.  Grant (P),25,8,17
Summer2020,50190,MA 0119,OL1,3.000,Applied Calculus I,[],[],Anna B.  DiCenso,Anna B.  DiCenso (P),20,10,10
Summer2020,50441,MA 0119,OL2,3.000,Applied Calculus I,[],[],Anna B.  DiCenso,Anna B.  DiCenso (P),20,11,9
Summer2020,50191,MA 0217,OL1,3.000,Statistics I,[],[],Irene T.  Mulvey,Irene T.  Mulvey (P),20,15,5
Summer2020,50329,MA 0217,OL3,3.000,Statistics I,[],[],Irene T.  Mulvey,Irene T.  Mulvey (P),20,14,6
Summer2020,50283,MA 0495D,OL1,3.000,Special Topics: Seminar on the Fundamental Theorem of Algebra,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '07/06-08/14', 'location': 'ONLINE '}]",['M 0630pm-0900pm 07/06-08/14 ONLINE '],Benjamin   Fine,Benjamin   Fine (P),15,8,7
Summer2020,50192,MA 0510,OL1,3.000,Foundations and Set Theory,"[{'days': 'TR', 'times': '0630pm-0930pm', 'dates': '07/13-08/14', 'location': 'ONLINE '}]",['TR 0630pm-0930pm 07/13-08/14 ONLINE '],Steven R.  LeMay,Steven R.  LeMay (P),15,5,10
Summer2020,50193,MA 0550,OL1,3.000,Classical Financial Mathematics,"[{'days': 'MW', 'times': '0630pm-0930pm', 'dates': '05/18-06/26', 'location': 'ONLINE '}]",['MW 0630pm-0930pm 05/18-06/26 ONLINE '],Alan   Anderson,Alan   Anderson (P),15,3,12
Summer2020,50439,MA 0590,MD,0.000,Capstone Project,[],[],Mark F.  Demers,Mark F.  Demers (P),1,1,0
Summer2020,50444,MA 0599,CS,3.000,Independent Study,[],[],Christopher   Staecker,Christopher   Staecker (P),3,1,2
Summer2020,50450,MA 0599,PB,3.000,Independent Study,[],[],Paul   Baginski,Paul   Baginski (P),3,1,2
Summer2020,50004,ME 0323,OL1,3.000,Thermal Management of Microdevices,[],[],Mehdi   Safari Qariq,Mehdi   Safari Qariq (P),15,1,14
Summer2020,50005,ME 0362,OL1,3.000,Turbomachinery,[],[],Shahrokh   Etemad,Shahrokh   Etemad (P),15,2,13
Summer2020,50006,ME 0423,OL1,3.000,Thermal Management of Microdevices,[],[],Mehdi   Safari Qariq,Mehdi   Safari Qariq (P),15,4,11
Summer2020,50007,ME 0453,OL1,3.000,Turbomachinery,[],[],Shahrokh   Etemad,Shahrokh   Etemad (P),15,6,9
Summer2020,50203,MU 0104,OL1,3.000,History of Music: 1700-1964,[],[],Michael Anthony  Ciavaglia,Michael Anthony  Ciavaglia (P),20,19,1
Summer2020,50204,MU 0201,OL1,3.000,Hip-Hop and Its Antecedants,[],[],Laura   Nash,Laura   Nash (P),14,7,7
Summer2020,50011,NS 0110,OL1,3.000,Introduction to Professional Nursing,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '05/29-06/05', 'location': 'ONLINE '}, {'days': 'M', 'times': '0830am-1100am', 'dates': '06/08-06/08', 'location': 'ONLINE '}]","['MTWRF 0830am-0430pm 05/29-06/05 ONLINE ', 'M 0830am-1100am 06/08-06/08 ONLINE ', 'M 0830am-1100am 06/08-06/08 ONLINE ']",Carole A.  Pomarico,"Carole A.  Pomarico (P), Erica   Wuchiski ",70,59,11
Summer2020,50012,NS 0112,OL1,3.000,Healthcare Delivery Systems,"[{'days': 'M', 'times': '1200pm-0400pm', 'dates': '06/08-06/08', 'location': 'ONLINE '}, {'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '06/09-06/16', 'location': 'ONLINE '}]","['M 1200pm-0400pm 06/08-06/08 ONLINE ', 'MTWRF 0830am-0430pm 06/09-06/16 ONLINE ', 'MTWRF 0830am-0430pm 06/09-06/16 ONLINE ']",Sally O.  Gerard,Sally O.  Gerard (P),70,57,13
Summer2020,50013,NS 0270,OL1,4.000,Health Assessment,"[{'days': 'MTWRF', 'times': '0800am-0400pm', 'dates': '06/17-06/29', 'location': 'ONLINE '}]",['MTWRF 0800am-0400pm 06/17-06/29 ONLINE '],Mary M  Murphy,Mary M  Murphy (P),70,61,9
Summer2020,50014,NS 0270L,01,0.000,Health Assessment Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,10,2
Summer2020,50015,NS 0270L,02,0.000,Health Assessment Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,10,2
Summer2020,50016,NS 0270L,03,0.000,Health Assessment Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,11,1
Summer2020,50017,NS 0270L,04,0.000,Health Assessment Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,10,2
Summer2020,50018,NS 0270L,05,0.000,Health Assessment Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,10,2
Summer2020,50353,NS 0270L,06,0.000,Health Assessment Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,10,2
Summer2020,50019,NS 0272,OL1,4.000,Geriatric Nursing,[],[],Meredith Wallace  Kazer,Meredith Wallace  Kazer (P),70,62,8
Summer2020,50380,NS 0272C,01,0.000,Geriatric Nursing Clinical,"[{'days': 'MTWRF', 'times': '0700am-0400pm', 'dates': '07/10-07/16', 'location': 'VA '}]",['MTWRF 0700am-0400pm 07/10-07/16 VA '],Laura A.  Conklin,Laura A.  Conklin (P),8,8,0
Summer2020,50381,NS 0272C,02,0.000,Geriatric Nursing Clinical,"[{'days': 'MTWRF', 'times': '0700am-0400pm', 'dates': '07/10-07/16', 'location': 'VA '}]",['MTWRF 0700am-0400pm 07/10-07/16 VA '],Patricia Doyle  Giannelli,Patricia Doyle  Giannelli (P),8,7,1
Summer2020,50382,NS 0272C,03,0.000,Geriatric Nursing Clinical,"[{'days': 'MTWRF', 'times': '0700am-0200pm', 'dates': '07/07-07/14', 'location': 'JHE '}]",['MTWRF 0700am-0200pm 07/07-07/14 JHE '],Geraldine   McSherry,Geraldine   McSherry (P),10,10,0
Summer2020,50383,NS 0272C,04,0.000,Geriatric Nursing Clinical,"[{'days': 'MTWRF', 'times': '0700am-0200pm', 'dates': '07/09-07/16', 'location': 'JHE '}]",['MTWRF 0700am-0200pm 07/09-07/16 JHE '],Mary Anne   Caserta,Mary Anne   Caserta (P),10,9,1
Summer2020,50384,NS 0272C,05,0.000,Geriatric Nursing Clinical,"[{'days': 'WR', 'times': '0700am-0200pm', 'dates': '07/01-07/02', 'location': 'LCH '}, {'days': 'MT', 'times': '0700am-0200pm', 'dates': '07/06-07/14', 'location': 'LCH '}]","['WR 0700am-0200pm 07/01-07/02 LCH ', 'MT 0700am-0200pm 07/06-07/14 LCH ', 'MT 0700am-0200pm 07/06-07/14 LCH ']",Kathleen D.  Lovanio,Kathleen D.  Lovanio (P),10,8,2
Summer2020,50385,NS 0272C,06,0.000,Geriatric Nursing Clinical,"[{'days': 'MTWRF', 'times': '0700am-0200pm', 'dates': '07/01-07/08', 'location': 'NWG '}]",['MTWRF 0700am-0200pm 07/01-07/08 NWG '],Patricia A.  Lamb,Patricia A.  Lamb (P),10,10,0
Summer2020,50386,NS 0272C,07,0.000,Geriatric Nursing Clinical,"[{'days': 'MTWRF', 'times': '0700am-0200pm', 'dates': '07/01-07/08', 'location': 'JHE '}]",['MTWRF 0700am-0200pm 07/01-07/08 JHE '],Danielle E.  Hall,Danielle E.  Hall (P),10,10,0
Summer2020,50021,NS 0307,OL1,4.000,Fundamentals of Nursing Care,"[{'days': 'MTWRF', 'times': '0900am-0400pm', 'dates': '07/27-08/14', 'location': 'NHS 224'}]",['MTWRF 0900am-0400pm 07/27-08/14 NHS 224'],Katherine   Saracino,Katherine   Saracino (P),70,63,7
Summer2020,50022,NS 0307L,01,0.000,Fundamentals of Nursing Care Lab,[],[],Susan B  Reynolds,Susan B  Reynolds (P),12,10,2
Summer2020,50023,NS 0307L,02,0.000,Fundamentals of Nursing Care Lab,[],[],Gina   Petersen,Gina   Petersen (P),12,10,2
Summer2020,50024,NS 0307L,03,0.000,Fundamentals of Nursing Care Lab,[],[],Susan N.  Bartos,Susan N.  Bartos (P),12,10,2
Summer2020,50025,NS 0307L,04,0.000,Fundamentals of Nursing Care Lab,[],[],Mary M  Murphy,Mary M  Murphy (P),12,11,1
Summer2020,50026,NS 0307L,05,0.000,Fundamentals of Nursing Care Lab,[],[],Laura A.  Conklin,Laura A.  Conklin (P),12,11,1
Summer2020,50355,NS 0307L,06,0.000,Fundamentals of Nursing Care Lab,[],[],Katherine   Saracino,"Katherine   Saracino (P), Patricia Doyle  Giannelli ",12,11,1
Summer2020,50027,NS 0312,OL1,5.000,Medical Surgical Nursing I,"[{'days': 'MT', 'times': '0800am-0100pm', 'dates': '05/18-05/26', 'location': 'ONLINE '}, {'days': 'MR', 'times': '0800am-0100pm', 'dates': '06/01-06/15', 'location': 'ONLINE '}, {'days': 'W', 'times': '0800am-0100pm', 'dates': '06/17-06/17', 'location': 'ONLINE '}, {'days': 'R', 'times': '0800am-1000am', 'dates': '06/18-06/18', 'location': 'ONLINE '}]","['MT 0800am-0100pm 05/18-05/26 ONLINE ', 'MR 0800am-0100pm 06/01-06/15 ONLINE ', 'MR 0800am-0100pm 06/01-06/15 ONLINE ', 'W 0800am-0100pm 06/17-06/17 ONLINE ', 'W 0800am-0100pm 06/17-06/17 ONLINE ', 'R 0800am-1000am 06/18-06/18 ONLINE ', 'R 0800am-1000am 06/18-06/18 ONLINE ']",Rose   Iannino-Renz,Rose   Iannino-Renz (P),29,29,0
Summer2020,50387,NS 0312C,01,0.000,Medical Surgical Nursing I Clinical,"[{'days': 'MTWR', 'times': '0700am-0500pm', 'dates': '08/24-08/27', 'location': 'STV '}]",['MTWR 0700am-0500pm 08/24-08/27 STV '],Rose   Iannino-Renz,Rose   Iannino-Renz (P),9,2,7
Summer2020,50388,NS 0312C,02,0.000,Medical Surgical Nursing I Clinical,"[{'days': 'MTWR', 'times': '0700am-0500pm', 'dates': '08/24-08/27', 'location': 'STV '}]",['MTWR 0700am-0500pm 08/24-08/27 STV '],Mary Anne   Caserta,Mary Anne   Caserta (P),9,0,9
Summer2020,50389,NS 0312C,03,0.000,Medical Surgical Nursing I Clinical,"[{'days': 'MTWR', 'times': '0700am-0500pm', 'dates': '08/24-08/27', 'location': 'YAL '}]",['MTWR 0700am-0500pm 08/24-08/27 YAL '],Michele Marie  Lecardo,Michele Marie  Lecardo (P),8,0,8
